Brand,Cultivator,Product,Format,Total Price,THC,CBD,Irradiation,Group,C.O.O,Terpenes,Pack,Stock,MedBud,Discounted,New
Peace Naturals,Northern Green Canada,Space Cake,Flower,£69.50,32%,<1%,Beta,Indica Hybrid,Canada,"Caryophyllene, Humulene, Limonene",10 Grams,Out of Stock,https://medbud.wiki/strains/peace-naturals/t30-space-cake/,,,

Phant,,Apes In Space,Flower,£75.00,24%,<1%,Beta,Hybrid,Canada,"Caryophyllene, Humulene, Limonene Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/phant/as-t24-apes-in-space/,,,
Phant,,Apes In Space (SMALLS),Flower,£60.00,22%,<1%,Beta,Hybrid,Canada,"Caryophyllene, Humulene, Limonene Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/phant/as-minis-t22-apes-in-space/,,,
Phant,,Blue Dream,Flower,£85.00,23%,<1%,Beta,Sativa Hybrid,Canada,"Alpha-Pinene, Limonene, Linalool, Myrcene",10 Grams,In Stock,https://medbud.wiki/strains/phant/bd-t23-blue-dream/,,,
Phant,,Pineapple Marker (SMALLS),Flower,£60.00,24%,<1%,Beta,Hybrid,Canada,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/phant/pm-minis-t24-pineapple-marker/,,,
Phant,,Pink D1,Flower,£55.00,28%,<1%,Beta,Indica Hybrid,Canada,"Caryophyllene, Limonene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/phant/d1-t28-pink/,,,
Phant,,Pink D1 (SMALLS),Flower,£50.00,23%,<1%,Beta,Indica Hybrid,Canada,"Caryophyllene, Limonene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/phant/d1-t28/,,,
Phant,,Powdered Donuts,Flower,£55.00,25%,<1%,Beta,Hybrid,Canada,"Caryophyllene, Limonene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/phant/pd-t25-powdered-donuts/,,,
Phant,,Strawberry Guava,Flower,£55.00,25%,<1%,Beta,Indica Hybrid,Canada,"Limonene, Linalool, Myrcene, Ocimene",10 Grams,Out of Stock,https://medbud.wiki/strains/phant/sgu-t25-strawberry-guava/,,,
Phant,,Strawberry Guava (SMALLS),Flower,£55.00,22%,<1%,Beta,Indica Hybrid,Canada,"Limonene, Linalool, Myrcene, Ocimene",10 Grams,Out of Stock,https://medbud.wiki/strains/phant/sgu-t25/,,,

PharmaServ,Pharmacol,OMG Burger,Flower,£65.00,26%,<1%,Non-Irradiated,Hybrid,Colombia,"Caryophyllene, Humulene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/pharmaserv/omg-t26-oh-my-god-burger/,,,
PharmaServ,Pharmacol,Tropicana Cherry,Flower,£50.00,16%,<1%,Non-Irradiated,Hybrid,Colombia,"Alpha-Pinene, Caryophyllene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/pharmaserv/tc-t16-tropicana-cherry/,,,
PharmaServ,Pharmacol,Zoom,Flower,£65.00,19%,<1%,Non-Irradiated,Hybrid,Colombia,"Alpha-Pinene, Caryophyllene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/pharmaserv/zo-t19-zoom/,,,

Plantations Ceres,,Cap Junky,Flower,£85.00,27%,<1%,Non-Irradiated,Hybrid,Canada,"Alpha-Farnesene, Caryophyllene, Limonene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/plantations-ceres/cj-t27-cap-junky/,,,
Plantations Ceres,,Mango K,Flower,£70.00,25%,<1%,Non-Irradiated,Hybrid,Canada,"Alpha-Pinene, Limonene, Myrcene, Ocimene, Terpinolene",10 Grams,Out of Stock,https://medbud.wiki/strains/plantations-ceres/mak-t25-mango-k/,,,
Plantations Ceres,,Rainbow Pave,Flower,£70.00,28%,<1%,Non-Irradiated,Hybrid,Canada,"Alpha-Farnesene, Caryophyllene, Limonene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/plantations-ceres/rp-t29-rainbow-pave/,,,

Primacann,Caprica,Liberation Lemon Cake,Flower,£75.00,21%,<1%,Beta,Hybrid,Jersey,"Caryophyllene, Limonene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/primacann/llc-t21-liberation-lemon-cake/,,,

Puro,,Biscotti Pippen,Flower,£69.50,25%,<1%,Gamma,Indica Hybrid,New Zealand,"Not Listed",10 Grams,In Stock,https://medbud.wiki/strains/puro/organic-bis-t25-biscotti-pippen/,,,
Puro,,Molotov,Flower,£79.50,24%,<1%,Gamma,Hybrid,New Zealand,"Caryophyllene, Humulene, Myrcene",10 Grams,In Stock,https://medbud.wiki/strains/puro/organic-mlt-t24-molotov/,,,
Puro,,Pandalorian,Flower,£79.50,24%,<1%,Gamma,Hybrid,New Zealand,"Caryophyllene, Limonene, Myrcene",10 Grams,In Stock,https://medbud.wiki/strains/puro/organic-pnd-t24-pandalorian/,,,
Puro,,Sour Cherry,Flower,£69.50,20%,<1%,Gamma,Hybrid,New Zealand,"Not Listed",10 Grams,In Stock,https://medbud.wiki/strains/puro/organic-src-t20-sour-cherry/,,,
Puro,,Sundae Driver,Flower,£69.50,21%,<1%,Gamma,Hybrid,New Zealand,"Caryophyllene, Limonene, Myrcene",10 Grams,In Stock,https://medbud.wiki/strains/puro/organic-sdd-t21-sundae-driver/,,,

Redecan,Tilray,Beach Crasher,Flower,£39.50,25%,<1%,Gamma,Hybrid,Portugal,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/redecan/bc-t25-beach-crasher/,,,
Redecan,Tilray,Frosted Cherry Cake,Flower,£39.50,25%,<1%,Gamma,Hybrid,Portugal,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/redecan/fcc-t25-frosted-cherry-cake/,,,
Redecan,Tilray,Ghost Gelato,Flower,£39.50,22%,<1%,Gamma,Hybrid,Portugal,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/redecan/gg-t27-ghost-gelato/,,,
Redecan,Tilray,King Sherb,Flower,£39.50,25%,<1%,Gamma,Hybrid,Portugal,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/redecan/ks-t28-king-sherb/,,,
Redecan,Tilray,Wappa,Flower,£39.50,27%,<1%,Gamma,Indica Hybrid,Portugal,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/redecan/wa-t29-wappa/,,,

Roxton Air,,Blue Apples,Flower,£75.00,26%,<1%,Non-Irradiated,Hybrid,Canada,"Alpha-Farnesene, Caryophyllene, Limonene, Linalool",10 Grams,Out of Stock,https://medbud.wiki/strains/roxton-air/ba-t26-blue-apples/,,,
Roxton Air,,Frosted Cookies,Flower,£75.00,26%,<1%,Non-Irradiated,Hybrid,Canada,"Caryophyllene, Humulene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/roxton-air/fc-t24-frosted-cookies/,,,

Scoops,AAAA,Gas Cream Cake (SMALLS),Flower,£55.00,27%,<1%,Non-Irradiated,Hybrid,Canada,"Caryophyllene, Limonene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/scoops/gcr-smalls-t27/,,,
Scoops,AAAA,Platinum Gushers (SMALLS),Flower,£55.00,21%,<1%,Non-Irradiated,Hybrid,Canada,"Not Listed",10 Grams,Out of Stock,https://medbud.wiki/strains/scoops/pg-m-smalls-t21-platinum-gushers/,,,

SeedJunky,,Permanent Marker,Flower,£65.00,25%,<1%,Beta,Hybrid,Unknown,"Caryophyllene, Limonene, Linalool",10 Grams,Out of Stock,https://medbud.wiki/strains/seed-junky/pm-t25-permanent-marker/,,,

Sitka Legends,,Cherry Triumph,Flower,£85.00,28%,<1%,Non-Irradiated,Hybrid,Canada,"Caryophyllene, Limonene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/sitka-legends/cht-t28-cherry-triumph/,,,
Sitka Legends,,Double Baked Cake,Flower,£75.00,27%,<1%,Non-Irradiated,Hybrid,Canada,"Caryophyllene, Limonene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/sitka-legends/dbc-t27-double-baked-cake/,,,
Sitka Legends,,Funk Petals,Flower,£75.00,25%,<1%,Non-Irradiated,Hybrid,Canada,"Limonene, Myrcene, Ocimene, Terpinolene",10 Grams,In Stock,https://medbud.wiki/strains/sitka-legends/fps-t25-funk-petal-sativa/,,,
Sitka Legends,,Kim's Sweet Diesel,Flower,£55.00,23%,<1%,Non-Irradiated,Hybrid,Canada,"Caryophyllene, Myrcene, Ocimene, Terpinolene",10 Grams,Out of Stock,https://medbud.wiki/strains/sitka-legends/ksd-t27-kims-sweet-diesel/,,,
Sitka Legends,,White Hot Guava,Flower,£69.50,21%,<1%,Non-Irradiated,Hybrid,Canada,"Alpha-Farnesene, Caryophyllene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/sitka-legends/whg-t26-white-hot-guava/,,,

Spirit Bear™,Canadian Craft Cannabis Co,Strawberry Meltshake,Flower,£120.00,25%,<1%,Beta,Hybrid,Canada,"Alpha-Farnesene, Humulene, Limonene, Linalool",10 Grams,Out of Stock,https://medbud.wiki/strains/spirit-bear/str-mls-t28-strawberry-meltshake/,,,

Sundaze,Northern Green Canada,Apples & Bananas,Flower,£75.00,24%,<1%,Beta,Indica Hybrid,Canada,"Caryophyllene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/sundaze/ap-t23-apples-bananas/,,,
Sundaze,Northern Green Canada,Banana Shortcake,Flower,£79.00,28%,<1%,Beta,Hybrid,Canada,"Alpha-Pinene, Beta-Pinene, Caryophyllene, Limonene",10 Grams,Out of Stock,https://medbud.wiki/strains/sundaze/bsc-t28-banana-shortcake/,,,
Sundaze,ABcann Medicinals,Bruce Banner,Flower,£65.00,30%,<1%,Gamma,Hybrid,Canada,"Caryophyllene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/sundaze/bb-t31-bruce-banner/,,,
Sundaze,ABcann Medicinals,Candy Store,Flower,£75.00,24%,<1%,Gamma,Hybrid,Canada,"Humulene, Limonene, Myrcene",10 Grams,In Stock,https://medbud.wiki/strains/sundaze/cs-t24-candy-store/,,,
Sundaze,ABcann Medicinals,Frosted Cookies,Flower,£59.00,22%,<1%,Gamma,Indica Hybrid,Canada,"Caryophyllene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/sundaze/frc-t22-frosted-cookies/,,,
Sundaze,ABcann Medicinals,Garlic Cookies,Flower,£69.00,30%,<1%,Gamma,Indica Hybrid,Canada,"Alpha-Pinene, Caryophyllene, Limonene",10 Grams,Out of Stock,https://medbud.wiki/strains/sundaze/gcs-t30-garlic-cookies-gmo/,,,
Sundaze,Northern Green Canada,Gold Bud,Flower,£75.00,32%,<1%,Gamma,Hybrid,Canada,"Caryophyllene, Humulene",10 Grams,In Stock,https://medbud.wiki/strains/sundaze/gbd-t32-gold-bud/,,,
Sundaze,ABcann Medicinals,Jet Fuel Pie,Flower,£75.00,28%,<1%,Non-Irradiated,Hybrid,Canada,"Caryophyllene, Humulene, Limonene, Linalool, Myrcene",10 Grams,In Stock,https://medbud.wiki/strains/sundaze/jfp-t28-jet-fuel-pie/,,,
Sundaze,Northern Green Canada,Modified Grapes,Flower,£75.00,25%,<1%,Beta,Indica Hybrid,Canada,"Caryophyllene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/sundaze/mg-t25-modified-grapes/,,,
Sundaze,Northern Green Canada,Permanent Marker,Flower,£69.00,24%,<1%,Gamma,Hybrid,Canada,"Caryophyllene, Limonene, Linalool",10 Grams,Out of Stock,https://medbud.wiki/strains/sundaze/pm-t24-permanent-marker/,,,
Sundaze,ABcann Medicinals,Pink Cookies,Flower,£69.00,27%,<1%,Gamma,Indica Hybrid,Canada,"Caryophyllene, Linalool, Myrcene",10 Grams,In Stock,https://medbud.wiki/strains/sundaze/pck-t27-pink-cookies/,,,
Sundaze,Northern Green Canada,Pink Snowcone,Flower,£45.00,23%,<1%,Beta,Hybrid,Canada,"Caryophyllene, Limonene",10 Grams,Out of Stock,https://medbud.wiki/strains/sundaze/psc-t23-pink-snowcone/,,,
Sundaze,ABcann Medicianls,Purple Punch,Flower,£75.00,25%,<1%,Gamma,Hybrid,Canada,"Alpha-Pinene, Beta-Pinene, Caryophyllene",10 Grams,In Stock,https://medbud.wiki/strains/sundaze/pp-t25-purple-punch/,,,

Soma OG,,M.A.C. Deluxe,Flower,£70.00,30%,<1%,Non-Irradiated,Hybrid,Canada,"Alpha-Farnesene, Alpha-Pinene, Beta-Pinene, Caryophyllene, Humulene, Limonene, Myrcene, Ocimene, Phellandrene",10 Grams,Out of Stock,https://medbud.wiki/strains/soma-og/mcd-t30-mac-deluxe/,,,

Superseed,Canadian Craft Cannabis Co,Blueberry Purp,Flower,£100.00,25%,<1%,Beta,Indica Hybrid,Canada,"Alpha-Farnesene, Alpha-Pinene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/superseed/bby-prp-t25-blueberry-purp/,,,
Superseed,Canadian Craft Cannabis Co,Cake City,Flower,£100.00,28%,<1%,Beta,Indica Hybrid,Canada,"Caryophyllene, Humulene, Limonene, Linalool, Myrcene",10 Grams,In Stock,https://medbud.wiki/strains/superseed/ck-cty-t30-cake-city/,,,
Superseed,Canadian Craft Cannabis Co,Congo Creek Haze,Flower,£100.00,32%,<1%,Beta,Sativa Hybrid,Canada,"Alpha-Farnesene, Myrcene, Ocimene, Terpinolene",10 Grams,Out of Stock,https://medbud.wiki/strains/superseed/cgo-chz-t30-congo-creek-haze/,,,
Superseed,Canadian Craft Cannabis Co,Gelato Cheesecake,Flower,£100.00,28%,<1%,Beta,Indica Hybrid,Canada,"Beta-Pinene, Caryophyllene, Limonene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/superseed/glt-cck-t28-gelato-cheesecake/,,,
Superseed,Canadian Craft Cannabis Co,Gelatti Pie,Flower,£100.00,30%,<1%,Beta,Sativa Hybrid,Canada,"Alpha-Farnesene, Limonene, Linalool, Myrcene",10 Grams,In Stock,https://medbud.wiki/strains/superseed/gti-pi-t30-gelatti-pie/,,,
Superseed,Canadian Craft Cannabis Co,Grape Cookies,Flower,£100.00,27%,<1%,Beta,Indica Hybrid,Canada,"Alpha-Pinene, Caryophyllene, Linalool, Myrcene, Ocimene, Terpinolene",10 Grams,Out of Stock,https://medbud.wiki/strains/superseed/grp-cks-t27-grape-cookies/,,,

Therismos,Linneo Health,Black Russian,Flower,£55.00,25%,<1%,Beta,Hybrid,Spain,"Alpha-Pinene, Beta-Pinene, Caryophyllene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/therismos/access-blr-t22-black-russian/,,,
Therismos,Linneo Health,Blue Dream Balanced,Flower,£70.00,10%,10%,Beta,Balanced,Spain,"Alpha-Pinene, Beta-Pinene, Caryophyllene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/therismos/t8c7-blue-dream-cbd/,,,
Therismos,Linneo Health,OG Kush,Flower,£55.00,22%,<1%,Beta,Indica Hybrid,Spain,"Beta-Pinene, Caryophyllene, Limonene, Myrcene, Nerolidol",10 Grams,Out of Stock,https://medbud.wiki/strains/therismos/t22-og-kush/,,,
Therismos,Karoo,Sour OG Cheese,Flower,£65.00,25%,<1%,Gamma,Indica Hybrid,South Africa,"Carene, Caryophyllene, Limonene",10 Grams,Out of Stock,https://medbud.wiki/strains/therismos/t25-sour-og-cheese/,,,
Therismos,Linneo Health,Strawberry OG,Flower,£70.00,25%,<1%,Beta,Hybrid,Spain,"Beta-Pinene, Caryophyllene, Limonene, Myrcene, Nerolidol",10 Grams,Out of Stock,https://medbud.wiki/strains/therismos/t25-strawberry-og/,,,

Tofino Ripper™,Canadian Craft Cannabis Co,Cookies & Chem,Flower,£70.00,28%,<1%,Beta,Hybrid,Canada,"Alpha-Farnesene, Limonene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/tofino-ripper/cks-chm-t28-cookies-chem/,,,
Tofino Ripper™,Canadian Craft Cannabis Co,Electric Lemon,Flower,£80.00,21%,<1%,Beta,Indica Hybrid,Canada,"Beta-Pinene, Limonene, Myrcene, Ocimene, Terpinolene",10 Grams,In Stock,https://medbud.wiki/strains/tofino-ripper/elc-lmn-t21-electric-lemon/,,,
Tofino Ripper™,Canadian Craft Cannabis Co,Super Sherb,Flower,£80.00,27%,<1%,Beta,Indica Hybrid,Canada,"Humulene, Limonene, Linalool, Myrcene",10 Grams,In Stock,https://medbud.wiki/strains/tofino-ripper/spr-shb-t27-super-sherb/,,,

Together Pharmacy,,Fruit Cup,Flower,£40.00,18%,<1%,Gamma,Hybrid,Uganda,"Caryophyllene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/together/tfc-t18-fruit-cup/,,,
Together Pharmacy,,Glueberry OG,Flower,£50.00,20%,<1%,Non-Irradiated,Hybrid,Uganda,"Alpha-Pinene, Beta-Pinene, Caryophyllene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/together/t19c0/,,,
Together Pharmacy,,GMO Cookies,Flower,£50.00,18%,<1%,Gamma,Indica Hybrid,Uganda,"Caryophyllene, Limonene, Myrcene",10 Grams,In Stock,https://medbud.wiki/strains/together/gmo-t18/,,,
Together Pharmacy,,Meringue,Flower,£50.00,19%,<1%,Gamma,Hybrid,Uganda,"Caryophyllene, Limonene, Linalool, Myrcene",10 Grams,In Stock,https://medbud.wiki/strains/together/ta-t19-meringue/,,,

Tyson 2.0,PharmaCann,Alexander The Great,Flower,£79.50,30%,<1%,Non-Irradiated,Hybrid,North Macedonia,"Alpha-Pinene, Beta-Pinene, Caryophyllene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/tyson-2.0/ag-t20-alexander-the-great/,,,
Tyson 2.0,PharmaCann,Exodus,Flower,£69.50,26%,<1%,Non-Irradiated,Hybrid,North Macedonia,"Caryophyllene, Limonene, Linalool",10 Grams,Out of Stock,https://medbud.wiki/strains/tyson-2.0/exodus/,,,
Tyson 2.0,PharmaCann,Frozen Fist,Flower,£89.50,26%,<1%,Non-Irradiated,Hybrid,North Macedonia,"Caryophyllene, Limonene, Linalool",10 Grams,Out of Stock,https://medbud.wiki/strains/tyson-2.0/frozen-fist/,,,
Tyson 2.0,PharmaCann,Haymaker Haze,Flower,£75.00,27%,<1%,Non-Irradiated,Sativa Hybrid,North Macedonia,"Alpha-Pinene, Beta-Pinene, Caryophyllene, Limonene, Myrcene, Ocimene, Terpinolene",10 Grams,Out of Stock,https://medbud.wiki/strains/tyson-2.0/t28-haymaker-haze/,,,
Tyson 2.0,PharmaCann,Tiger Milk,Flower,£65.00,30%,<1%,Non-Irradiated,Indica Hybrid,North Macedonia,"Alpha-Pinene, Beta-Pinene, Caryophyllene, Limonene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/tyson-2.0/t28-tiger-milk/,,,

Upstate®,,Alien Mintz,Flower,£75.00,30%,<1%,Non-Irradiated,Hybrid,Unknown,"Caryophyllene, Limonene, Linalool, Myrcene",10 Grams,In Stock,https://medbud.wiki/strains/upstate/amz-t30-alien-mintz/,,,
Upstate®,Northern Green Canada,Berry Cream Puff,Flower,£55.00,21%,<1%,Beta,Sativa Hybrid,Canada,"Caryophyllene, Guaiol, Limonene",10 Grams,In Stock,https://medbud.wiki/strains/upstate/bp-t20/,,,
Upstate®,Northern Green Canada,Black Triangle Kush,Flower,60.00,23%,<1%,Gamma,Indica Hybrid,Canada,"Beta-Pinene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/upstate/btk-t23/,,,
Upstate®,,Blue Dream,Flower,£60.00,24%,<1%,Non-Irradiated,Sativa Hybrid,Unknown,"Alpha-Pinene, Beta-Pinene, Caryophyllene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/upstate/bd-t24-blue-dream/,,,
Upstate®,Northern Green Canada,Cap Junky,Flower,£65.00,30%,<1%,Beta,Hybrid,Canada,"Caryophyllene, Limonene, Linalool",10 Grams,Out of Stock,https://medbud.wiki/strains/upstate/cjk-t30-cap-junky/,,,
Upstate®,,Cinderella 99,Flower,£60.00,22%,<1%,Beta,Sativa Hybrid,Unknown,"Caryophyllene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/upstate/cdr-t22-cinderella-99/,,,
Upstate®,,Citrus Slap,Flower,£75.00,33%,<1%,Non-Irradiated,Hybrid,Unknown,"Humulene, Limonene, Myrcene",10 Grams,In Stock,https://medbud.wiki/strains/upstate/cts-t33-citrus-slap/,,,
Upstate®,Northern Green Canada,Crossbow,Flower,£69.00,26%,<1%,Gamma,Hybrid,Canada,"Caryophyllene, Humulene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/upstate/t27-crossbow/,,,
Upstate®,,Diamond Mintz,Flower,£75.00,30%,<1%,Beta,Hybrid,Unknown,"Caryophyllene, Limonene, Linalool",10 Grams,In Stock,https://medbud.wiki/strains/upstate/dmz-t30-diamond-mintz/,,,
Upstate®,,Fight Club,Flower,£69.00,30%,<1%,Beta,Hybrid,Unknown,"Caryophyllene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/upstate/ftc-t30-fight-club/,,,
Upstate®,Little Green Pharma,Full Gas,Flower,£55.00,18%,<1%,Beta,Indica Hybrid,Denmark,"Caryophyllene, Humulene, Limonene",10 Grams,Out of Stock,https://medbud.wiki/strains/upstate/fgs-t20-full-gas/,,,
Upstate®,Northern Green Canada,Ghost Train Haze,Flower,£55.00,22%,<1%,Beta,Sativa Hybrid,Canada,"Alpha-Pinene, Beta-Pinene, Limonene",10 Grams,Out of Stock,https://medbud.wiki/strains/upstate/gtz-t22/,,,
Upstate®,,Gorilla Glue #4,Flower,£75.00,29%,<1%,Beta,Sativa Hybrid,Unknown,"Caryophyllene, Limonene, Myrcene",10 Grams,In Stock,https://medbud.wiki/strains/upstate/grg-t29-gorilla-glue-4/,,,
Upstate®,Northern Green Canada,Grape Burger,Flower,£60.00,23%,<1%,Beta,Indica Hybrid,Canada,"Limonene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/upstate/gb-t23-grape-burger/,,,
Upstate®,Litte Green Pharma,Imperial Mimosa,Flower,£59.00,17%,<1%,Beta,Hybrid,Denmark,"Caryophyllene, Limonene, Myrcene",10 Grams,In Stock,https://medbud.wiki/strains/upstate/imm-t17/,,,
Upstate®,Greentone,Kush Cookies,Flower,£65.00,26%,<1%,Gamma,Hybrid,Canada,"Caryophyllene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/upstate/ksc-t26/,,,
Upstate®,,Mellowz,Flower,£65.00,26%,<1%,Beta,Hybrid,Unknown,"Alpha-Pinene, Beta-Pinene, Caryophyllene, Linalool, Myrcene",10 Grams,In Stock,https://medbud.wiki/strains/upstate/mlz-t26/,,,
Upstate®,Little Green Pharma,Mimosa Orange Punch,Flower,£55.00,18%,<1%,Beta,Hybrid,Denmark,"Caryophyllene, Limonene, Linalool",10 Grams,In Stock,https://medbud.wiki/strains/upstate/mop-t18-mimosa-orange-punch/,,,
Upstate®,,Mochi Gelato,Flower,£69.00,28%,<1%,Beta,Hybrid,Unknown,"Caryophyllene, Limonene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/upstate/mgt-t28-mochi-gelato/,,,
Upstate®,Northern Green Canada,Pineapple God,Flower,£69.00,26%,<1%,Beta,Hybrid,Canada,"Caryophyllene, Humulene",10 Grams,In Stock,https://medbud.wiki/strains/upstate/pgd-t26-pineapple-god/,,,
Upstate®,Northern Green Canada,Purple Octane,Flower,£65.00,28%,<1%,Beta,Hybrid,Canada,"Caryophyllene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/upstate/po-t28-purple-octane/,,,
Upstate®,Northern Green Canada,Scoops,Flower,£60.00,26%,<1%,Beta,Indica Hybrid,Canada,"Caryophyllene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/upstate/ss-t22-scoops/,,,
Upstate®,Northern Green Canada,Scout Cake,Flower,£79.00,30%,<1%,Gamma,Indica Hybrid,Canada,"Not Listed",10 Grams,In Stock,https://medbud.wiki/strains/upstate/sc-t30-scout-cake/,,,
Upstate®,Little Green Pharma,Sky Berry Kush,Flower,£60.00,25%,<1%,Beta,Hybrid,Denmark,"Caryophyllene, Humulene, Limonene, Myrcene, Nerolidol",10 Grams,In Stock,https://medbud.wiki/strains/upstate/phoenix-t26-sky-berry-kush/,,,
Upstate®,,Ventura Dawg,Flower,£69.00,30%,<1%,Non-Irradiated,Hybrid,Unknown,"Limonene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/upstate/vtd-t30-ventura-dawg/,,,
Upstate®,Northern Green Canada,Wedding Pie,Flower,£60.00,22%,<1%,Beta,Indica Hybrid,Canada,"Caryophyllene, Linalool, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/upstate/wp-t22/,,,
Upstate®,Northern Green Canada,White Out,Flower,£55.00,22%,<1%,Beta,Sativa Hybrid,Canada,"Caryophyllene, Limonene, Myrcene",10 Grams,Out of Stock,https://medbud.wiki/strains/upstate/wo-t23-white-out/,,,

Vasco,,Blueberry Banana (SMALLS),Flower,£65.00,28%,<1%,Non-Irradiated,Hybrid,Canada,"Caryophyllene, Linalool, Myrcene, Ocimene",10 Grams,Out of Stock,https://medbud.wiki/strains/vasco/bb-t28-blueberry-banana/,,,
Vasco,,Blue Lobster,Flower,£100.00,27%,<1%,Non-Irradiated,Indica Hybrid,Canada,"Caryophyllene, Limonene, Linalool, Myrcene",10 Grams,In Stock,https://medbud.wiki/strains/vasco/cipher-bl-t27-blue-lobster/,,,
Vasco,,Pave Runtz,Flower,£85.00,25%,<1%,Non-Irradiated,Hybrid,Canada,"Caryophyllene, Limonene, Linalool",10 Grams,Out of Stock,https://medbud.wiki/strains/vasco/pr-t28-pave-runtz/,,,

Vida,,Banana Ice,Flower,£55.00,22%,<1%,Gamma,Hybrid,South Africa,"Not Listed",10 Grams,In Stock,https://medbud.wiki/strains/vida/t22-banana-ice/,,,
Vida,,Cherry Whips,Flower,£49.50,18%,<1%,Gamma,Hybrid,South Africa,"Not Listed",10 Grams,In Stock,https://medbud.wiki/strains/vida/t18-cherry-whips/,,,
Vida,,Face On Fire,Flower,£49.50,20%,<1%,Gamma,Hybrid,South Africa,"Not Listed",10 Grams,In Stock,https://medbud.wiki/strains/vida/t20-face-on-fire/,,,



4C Labs,Decibel & AgMedica,5 Loco,Vapes,£45.00,807%,10%,Distillate,Sativa,Canada,"Caryophyllene, Limonene, Linalool",0.95 Grams,Out of Stock,https://medbud.wiki/vape-cartridges/4c-labs/5lv-t850-5-loco/,,,
4C Labs,Decibel & AgMedica,Cherry Lime,Vapes,£45.00,807%,10%,Distillate,Sativa Hybrid,Canada,"Not Listed",0.95 Grams,Out of Stock,https://medbud.wiki/vape-cartridges/4c-labs/clv-t807-cherry-lime/,,,
4C Labs,Decibel & AgMedica,Grapey Grape,Vapes,£45.00,807%,10%,Distillate,Indica,Canada,"Alpha-Pinene, Caryophyllene, Myrcene",0.95 Grams,Out of Stock,https://medbud.wiki/vape-cartridges/4c-labs/ggv-t850-grapey-grape/,,,
4C Labs,Decibel & AgMedica,Peach Rizz,Vapes,£45.00,807%,10%,Distillate,Sativa,Canada,"Caryophyllene, Limonene, Myrcene",0.95 Grams,Out of Stock,https://medbud.wiki/vape-cartridges/4c-labs/prv-t850-peach-rizz/,,,
